epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
44,0.07020994777912679,"tensor(0.1200, device='cuda:0')","tensor(0.2147, device='cuda:0')","tensor(1.0674, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.7006, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1218, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2524, device='cuda:0')","tensor(8.7472, device='cuda:0')","tensor(0.1209, device='cuda:0')"
45,0.06841599682103032,"tensor(0.1188, device='cuda:0')","tensor(0.2262, device='cuda:0')","tensor(0.9326, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.6854, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1305, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1928, device='cuda:0')","tensor(8.6543, device='cuda:0')","tensor(0.1262, device='cuda:0')"
46,0.06891385384875795,"tensor(0.1007, device='cuda:0')","tensor(0.2551, device='cuda:0')","tensor(0.9811, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.6985, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1354, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1769, device='cuda:0')","tensor(7.4628, device='cuda:0')","tensor(0.1236, device='cuda:0')"
47,0.0679708759745826,"tensor(0.1089, device='cuda:0')","tensor(0.2762, device='cuda:0')","tensor(0.8744, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.6095, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1256, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1946, device='cuda:0')","tensor(7.9854, device='cuda:0')","tensor(0.1229, device='cuda:0')"
48,0.06622747542417567,"tensor(0.1155, device='cuda:0')","tensor(0.2926, device='cuda:0')","tensor(0.9668, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.4142, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1317, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9383, device='cuda:0')","tensor(8.4361, device='cuda:0')","tensor(0.1087, device='cuda:0')"
49,0.06678177691672159,"tensor(0.1015, device='cuda:0')","tensor(0.2537, device='cuda:0')","tensor(1.0328, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.4708, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1238, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6049, device='cuda:0')","tensor(7.7740, device='cuda:0')","tensor(0.1291, device='cuda:0')"
50,0.06345748269687528,"tensor(0.1028, device='cuda:0')","tensor(0.2534, device='cuda:0')","tensor(0.7428, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.3140, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1301, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0450, device='cuda:0')","tensor(7.7959, device='cuda:0')","tensor(0.1159, device='cuda:0')"
51,0.061315674172795334,"tensor(0.1068, device='cuda:0')","tensor(0.2510, device='cuda:0')","tensor(0.6987, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.2691, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1273, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0477, device='cuda:0')","tensor(7.9071, device='cuda:0')","tensor(0.1182, device='cuda:0')"
52,0.06380009262458138,"tensor(0.1107, device='cuda:0')","tensor(0.2597, device='cuda:0')","tensor(0.8532, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.3440, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1245, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0005, device='cuda:0')","tensor(8.2208, device='cuda:0')","tensor(0.1164, device='cuda:0')"
53,0.06544920251421306,"tensor(0.0967, device='cuda:0')","tensor(0.3018, device='cuda:0')","tensor(0.8251, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.4229, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1221, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6864, device='cuda:0')","tensor(7.4125, device='cuda:0')","tensor(0.1136, device='cuda:0')"
54,0.06705781882223875,"tensor(0.0977, device='cuda:0')","tensor(0.2909, device='cuda:0')","tensor(0.5920, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.4487, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1231, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7891, device='cuda:0')","tensor(7.4712, device='cuda:0')","tensor(0.1198, device='cuda:0')"
