epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
42,0.04157492817039528,"tensor(0.0965, device='cuda:0')","tensor(0.4260, device='cuda:0')","tensor(0.1511, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9458, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0337, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5368, device='cuda:0')","tensor(3.5394, device='cuda:0')","tensor(0.0374, device='cuda:0')"
43,0.04353062007280569,"tensor(0.1055, device='cuda:0')","tensor(0.4032, device='cuda:0')","tensor(0.2162, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0392, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0351, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9072, device='cuda:0')","tensor(3.6886, device='cuda:0')","tensor(0.0393, device='cuda:0')"
44,0.038988848261180375,"tensor(0.0958, device='cuda:0')","tensor(0.3966, device='cuda:0')","tensor(0.1209, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8586, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0337, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6868, device='cuda:0')","tensor(3.4191, device='cuda:0')","tensor(0.0396, device='cuda:0')"
45,0.04100718701051341,"tensor(0.0972, device='cuda:0')","tensor(0.4451, device='cuda:0')","tensor(0.1013, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9244, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0338, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5367, device='cuda:0')","tensor(3.4370, device='cuda:0')","tensor(0.0362, device='cuda:0')"
46,0.041118242201350984,"tensor(0.1005, device='cuda:0')","tensor(0.3968, device='cuda:0')","tensor(0.1196, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9740, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0349, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7636, device='cuda:0')","tensor(3.6477, device='cuda:0')","tensor(0.0399, device='cuda:0')"
47,0.04026272345984739,"tensor(0.0912, device='cuda:0')","tensor(0.4492, device='cuda:0')","tensor(0.1471, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9387, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0352, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6664, device='cuda:0')","tensor(3.3676, device='cuda:0')","tensor(0.0398, device='cuda:0')"
48,0.040315950525895,"tensor(0.0993, device='cuda:0')","tensor(0.3951, device='cuda:0')","tensor(0.0993, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9021, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0330, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7768, device='cuda:0')","tensor(3.5924, device='cuda:0')","tensor(0.0372, device='cuda:0')"
49,0.0388173841176525,"tensor(0.1084, device='cuda:0')","tensor(0.4180, device='cuda:0')","tensor(0.0715, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8856, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0328, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6634, device='cuda:0')","tensor(3.8422, device='cuda:0')","tensor(0.0382, device='cuda:0')"
50,0.036610878708343654,"tensor(0.0970, device='cuda:0')","tensor(0.3959, device='cuda:0')","tensor(0.0896, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7875, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0337, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8535, device='cuda:0')","tensor(3.4837, device='cuda:0')","tensor(0.0384, device='cuda:0')"
51,0.0385763846810848,"tensor(0.1019, device='cuda:0')","tensor(0.4083, device='cuda:0')","tensor(0.2029, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8356, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0323, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6211, device='cuda:0')","tensor(3.8592, device='cuda:0')","tensor(0.0401, device='cuda:0')"
52,0.038582889333603876,"tensor(0.1015, device='cuda:0')","tensor(0.3927, device='cuda:0')","tensor(0.0951, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8186, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0316, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6356, device='cuda:0')","tensor(3.6101, device='cuda:0')","tensor(0.0383, device='cuda:0')"
53,0.040538542061334566,"tensor(0.0969, device='cuda:0')","tensor(0.4511, device='cuda:0')","tensor(0.1362, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8939, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0328, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6794, device='cuda:0')","tensor(3.6406, device='cuda:0')","tensor(0.0360, device='cuda:0')"
54,0.03822962487382548,"tensor(0.0953, device='cuda:0')","tensor(0.3802, device='cuda:0')","tensor(0.2407, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8469, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0331, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6485, device='cuda:0')","tensor(3.5634, device='cuda:0')","tensor(0.0425, device='cuda:0')"
55,0.03975033975901112,"tensor(0.0912, device='cuda:0')","tensor(0.4294, device='cuda:0')","tensor(0.0651, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8569, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0301, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7937, device='cuda:0')","tensor(3.4905, device='cuda:0')","tensor(0.0350, device='cuda:0')"
56,0.039278921774692006,"tensor(0.0904, device='cuda:0')","tensor(0.4387, device='cuda:0')","tensor(0.0875, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8717, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0301, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5085, device='cuda:0')","tensor(3.4873, device='cuda:0')","tensor(0.0369, device='cuda:0')"
57,0.038153121188756016,"tensor(0.1014, device='cuda:0')","tensor(0.4218, device='cuda:0')","tensor(0.1455, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8186, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0325, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0881, device='cuda:0')","tensor(3.6499, device='cuda:0')","tensor(0.0378, device='cuda:0')"
58,0.03821081753879312,"tensor(0.0910, device='cuda:0')","tensor(0.4316, device='cuda:0')","tensor(0.0791, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8418, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0308, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6280, device='cuda:0')","tensor(3.4350, device='cuda:0')","tensor(0.0354, device='cuda:0')"
59,0.039319909192503444,"tensor(0.0933, device='cuda:0')","tensor(0.4274, device='cuda:0')","tensor(0.0900, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8504, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0315, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5661, device='cuda:0')","tensor(3.4991, device='cuda:0')","tensor(0.0362, device='cuda:0')"
60,0.03755664169078782,"tensor(0.0981, device='cuda:0')","tensor(0.3642, device='cuda:0')","tensor(0.0846, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8015, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0313, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7058, device='cuda:0')","tensor(3.5215, device='cuda:0')","tensor(0.0435, device='cuda:0')"
61,0.036892278031224295,"tensor(0.1018, device='cuda:0')","tensor(0.4558, device='cuda:0')","tensor(0.0910, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7734, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0316, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6962, device='cuda:0')","tensor(3.6762, device='cuda:0')","tensor(0.0366, device='cuda:0')"
62,0.0366383372613835,"tensor(0.0986, device='cuda:0')","tensor(0.4067, device='cuda:0')","tensor(0.0750, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7571, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0300, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6680, device='cuda:0')","tensor(3.7258, device='cuda:0')","tensor(0.0431, device='cuda:0')"
63,0.037120715848037174,"tensor(0.0941, device='cuda:0')","tensor(0.4120, device='cuda:0')","tensor(0.0602, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7859, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0293, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7165, device='cuda:0')","tensor(3.5440, device='cuda:0')","tensor(0.0384, device='cuda:0')"
64,0.03625897906484112,"tensor(0.0897, device='cuda:0')","tensor(0.4035, device='cuda:0')","tensor(0.0464, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7705, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0297, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8274, device='cuda:0')","tensor(3.3807, device='cuda:0')","tensor(0.0386, device='cuda:0')"
65,0.03652849485949865,"tensor(0.0923, device='cuda:0')","tensor(0.3809, device='cuda:0')","tensor(0.0755, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7619, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0302, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9741, device='cuda:0')","tensor(3.4264, device='cuda:0')","tensor(0.0396, device='cuda:0')"
66,0.0373771357690058,"tensor(0.1042, device='cuda:0')","tensor(0.3906, device='cuda:0')","tensor(0.0489, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7747, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0296, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9689, device='cuda:0')","tensor(3.6613, device='cuda:0')","tensor(0.0405, device='cuda:0')"
67,0.034261358842726734,"tensor(0.0896, device='cuda:0')","tensor(0.3961, device='cuda:0')","tensor(0.0575, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6728, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0288, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9213, device='cuda:0')","tensor(3.3794, device='cuda:0')","tensor(0.0390, device='cuda:0')"
